Fir	Las	Team	Pos	Height	Pts	Reb	Blk	Ast	Stl
Jerryd	Bayless	Timberwolves	PG	6'3"	6.1	1.8	.1	3.5	.5
Robert	Covington	Timberwolves	SF	6'9"	13.3	5.5	1.3	1.3	2.1
Mitchell	Creek	Timberwolves	SF	6'6"	4.2	2.4	0	1.2	.4
Luol	Deng	Timberwolves	SF	6'9"	7.1	3.3	.4	.8	.7
Gorgui	Dieng	Timberwolves	C	6'11"	6.4	4.1	.5	.9	.6
Taj	Gibson	Timberwolves	PF	6'9"	10.8	6.5	.6	1.2	.8
Tyus	Jones	Timberwolves	PG	6'2"	6.9	2	.1	4.8	1.2
Josh	Okogie	Timberwolves	SG	6'4"	7.7	2.9	.4	1.2	1.2
Cameron	Reynolds	Timberwolves	SG	6'8"	5	1.6	.1	.7	.3
Derrick	Rose	Timberwolves	PG	6'3"	18	2.7	.2	4.3	.6
Dario	Saric	Timberwolves	PF	6'10"	10.6	5.6	.1	1.6	.6
Jeff	Teague	Timberwolves	PG	6'2"	12.1	2.5	.4	8.2	1
Jared	Terrell	Timberwolves	SG	6'3"	2.2	.4	.1	.9	.2
Anthony	Tolliver	Timberwolves	PF	6'8"	5	2.7	.3	.7	.3
Karl-Anthony	Towns	Timberwolves	C	7'0"	24.4	12.4	1.6	3.4	.9
Andrew	Wiggins	Timberwolves	SF	6'8"	18.1	4.8	.7	2.5	1
C.J.	Williams	Timberwolves	SG	6'5"	2.6	.5	0	.8	.4
Steven	Adams	Thunder	C	7'0"	13.9	9.5	1	1.6	1.5
Deonte	Burton	Thunder	SG	6'5"	2.6	.9	.3	.3	.2
Hamidou	Diallo	Thunder	SG	6'5"	3.7	1.9	.2	.3	.4
Jawun	Evans	Thunder	PG	6'0"	.8	1.5	0	1.3	.4
Raymond	Felton	Thunder	PG	6'1"	4.3	1	.2	1.6	.3
Terrance	Ferguson	SG	6'7"	6.9	1.9	.2	1	.5
Paul	George	Thunder	SF	6'9"	28	8.2	.4	4.1	2.2
Jerami	Grant	Thunder	SF	6'9"	13.6	5.2	1.3	1	.8
Donte	Grantham	Thunder	SF	6'8"	0	0	0	0	0
Markieff	Morris	Thunder	PF	6'10"	9.4	4.6	.4	1.4	.6
Abdel	Nader	Thunder	SF	6'6"	4	1.9	.2	.3	.3
Nerlens	Noel	Thunder	PF	6'11"	4.9	4.2	1.2	.6	.9
Patrick	Patterson	Thunder	PF	6'9"	3.6	2.3	.2	.5	.3
Andre	Roberson	Thunder	SG	6'7"	5	4.7	.9	1.2	1.2
Dennis	Schroder	Thunder	PG	6'1"	15.5	3.6	.2	4.1	.8
Russell	Westbrook	Thunder	PG	6'3"	22.9	11.1	.5	10.7	1.9
Al-Farouq	Aminu	Trail Blazers	PF	6'9"	9.4	7.5	.4	1.3	.8
Zach	Collins	Trail Blazers	PF	7'0"	6.6	4.2	.9	.9	.3
Seth	Curry	Trail Blazers	SG	6'2"	7.9	1.6	.2	.9	.5
Maurice	Harkless	Trail Blazers	SF	6'9"	7.7	4.5	.9	1.2	1.1
Rodney	Hood	Trail Blazers	SG	6'8"	11.2	2.2	.2	1.8	.8
Enes	Kanter	Trail Blazers	C	6'11"	13.7	9.8	.4	1.7	.5
Skal	Labissier	Trail Blazers	PF	6'11"	3	2	.3	.5	.2
Jake	Layman	Trail Blazers	SF	6'9"	7.6	3.1	.4	.7	.4
Meyers	Leonard	Trail Blazers	PF	7'1"	5.9	3.8	.1	1.2	.2
Damian	Lillard	Trail Blazers	PG	6'3"	25.8	4.6	.4	6.9	1.1
CJ	McCollum	Trail Blazers	SG	6'3"	21	4	.4	3	.8
Jusuf	Nurkic	Trail Blazers	C	7'0"	15.6	10.4	1.4	3.2	1
Anfernee	Simmons	Trail Blazers	SG	6'4"	3.8	.7	0	.7	.1
Gary	Trent Jr.	Trail Blazers	SG	6'6"	2.7	.7	.1	.3	.1
Grayson	Allen	Jazz	SG	6'5"	5.6	.6	.2	.7	.2
Tony	Bradley	Jazz	C	6'10"	5.7	5	.7	.3	.7
Jae	Crowder	Jazz	PF	6'6"	11.9	4.8	.4	1.7	.8
Dante	Exum	Jazz	PG	6'6"	6.9	1.6	.1	2.6	.3
Derrick	Favors	Jazz	PF	6'10"	11.8	7.4	1.4	1.2	.7
Rudy	Gobert	Jazz	C	7'1"	15.9	12.9	2.3	2	.8
Joe	Ingles	Jazz	SF	6'8"	12.1	4	.2	5.7	1.2
Kyle	Korver	Jazz	SG	6'7"	8.6	2.3	.2	1.2	.4
Donovan	Mitchell	Jazz	SG	6'3"	23.8	4.1	.4	4.2	1.4
Raul	Neto	Jazz	PG	6'1"	5.3	1.7	.1	2.5	.4
Georges	Niang	Jazz	SF	6'8"	4	1.5	.1	.6	.2
Royce	O'Neale	Jazz	SF	6'6"	5.2	3.5	.3	1.5	.7
Ricky	Rubio	Jazz	PG	6'4"	12.7	3.6	.1	6.1	1.3
Thabo	Sefolosha	Jazz	SF	6'7"	3.8	2.5	.1	.5	.9
Ekpe	Udoh	Jazz	C	6'10"	2.3	1.8	.6	.5	.2	
